Unnamed: 0,l1,l2,err_l1,err_l2
0,[0.9795028],[0.00335462],[2.0497203],[5.3885927]
1,[0.97042674],[0.0037453],[2.9573262],[17.66195]
2,[0.98809654],[0.00345356],[1.1903465],[8.496884]
3,[0.98203063],[0.00341167],[1.796937],[7.1806602]
4,[0.9856902],[0.00329499],[1.4309824],[3.5151215]
5,[0.9855065],[0.00331889],[1.4493525],[4.2658763]
6,[0.9896277],[0.00330303],[1.0372281],[3.7676578]
7,[0.9785593],[0.00353543],[2.1440685],[11.068913]
8,[0.97822684],[0.00362531],[2.177316],[13.892484]
9,[0.9871423],[0.00361773],[1.2857676],[13.654262]
10,[0.982824],[0.00355934],[1.7175972],[11.819844]
11,[0.98490614],[0.00342367],[1.5093863],[7.557632]
12,[0.96372867],[0.00378428],[3.6271334],[18.886616]
13,[0.9895374],[0.00354153],[1.0462582],[11.260585]
14,[0.980186],[0.00332267],[1.9814014],[4.3848186]
15,[0.9859229],[0.0031432],[1.4077127],[1.2534868]
16,[0.96479064],[0.00396334],[3.5209358],[24.512041]
17,[0.97368133],[0.00339695],[2.631867],[6.718217]
18,[0.9708476],[0.00357558],[2.9152393],[12.330204]
19,[0.9798071],[0.00333507],[2.019292],[4.774438]
20,[0.98156595],[0.00328035],[1.8434048],[3.0550776]
21,[0.99105614],[0.0034366],[0.8943856],[7.9640822]
22,[0.99138045],[0.00338863],[0.8619547],[6.4569764]
23,[0.9853776],[0.00321587],[1.462239],[1.0294335]
24,[0.98091],[0.00347296],[1.9089997],[9.106372]
25,[0.9799834],[0.00338242],[2.001661],[6.2617207]
26,[0.99121785],[0.00339397],[0.87821484],[6.624831]
27,[0.9973962],[0.00344968],[0.2603829],[8.374855]
28,[0.9867844],[0.00346972],[1.3215601],[9.004451]
29,[0.94204986],[0.00355333],[5.795014],[11.631091]
30,[0.9797566],[0.0031534],[2.0243406],[0.9328736]
31,[0.98093206],[0.00361677],[1.9067943],[13.624032]
32,[0.9951457],[0.00331599],[0.48543215],[4.174934]
33,[0.9816449],[0.00318329],[1.8355072],[0.00597602]
34,[0.9800088],[0.00334474],[1.9991219],[5.078132]
35,[0.9782403],[0.00358118],[2.175969],[12.506193]
36,[0.9852474],[0.00339039],[1.4752626],[6.5121727]
37,[0.989764],[0.00365923],[1.0236025],[14.958183]
38,[0.9939282],[0.00336907],[0.6071806],[5.842397]
39,[0.9467542],[0.00379239],[5.3245783],[19.141537]
40,[0.9891414],[0.00326261],[1.0858595],[2.4979105]
41,[0.98165065],[0.00352105],[1.834935],[10.617165]
42,[0.98580444],[0.00348838],[1.4195561],[9.590767]
43,[0.9913473],[0.00341318],[0.8652687],[7.2282047]
44,[0.9857577],[0.00333921],[1.4242291],[4.9043155]
