,l1,l2,err_l1,err_l2,MSE
0,[0.80569905],[0.00693986],[19.430096],[118.02199],0.19159529937285605
1,[0.7506507],[0.00496707],[24.934929],[56.045048],0.06951494197902981
2,[0.96578974],[0.00361476],[3.4210265],[13.56114],0.015328068920970763
3,[0.9673786],[0.00380467],[3.2621384],[19.527227],0.020528879855275604
4,[0.9382778],[0.00339228],[6.172222],[6.5715084],0.02604802416450329
5,[0.6818332],[0.00570432],[31.816679],[79.206566],0.15983254146763237
6,[0.9124799],[0.00408563],[8.752012],[28.353838],0.029496678702623506
7,[0.99175245],[0.00310566],[0.82475543],[2.432723],0.010500912307692034
8,[0.9783808],[0.00327217],[2.16192],[2.7981453],0.010405182387324997
9,[0.9858727],[0.0031431],[1.4127314],[1.2565954],0.008358420148918367
10,[0.74676895],[0.00554894],[25.323105],[74.325134],0.1344568559027373
11,[0.9679455],[0.00393034],[3.2054484],[23.47524],0.021156635563010034
12,[0.9970161],[0.00331717],[0.29839277],[4.2118945],0.00736067923457005
13,[0.98704016],[0.00316216],[1.2959838],[0.65794003],0.005556168196731441
14,[0.9716805],[0.00314248],[2.8319478],[1.2761327],0.009047994331624832
