Unnamed: 0,l1_noisy,l2_noisy,err_l1_noisy,err_l2_noisy
0,[0.9809681],[0.0036026],[1.9031882],[13.179165]
1,[0.95404196],[0.0033038],[4.595804],[3.7919567]
2,[0.9772334],[0.00333264],[2.276659],[4.697971]
3,[0.97333],[0.0032878],[2.666998],[3.289203]
4,[0.9934431],[0.00318168],[0.6556928],[0.04456048]
5,[0.9817742],[0.00325728],[1.8225789],[2.3305967]
6,[0.98071426],[0.00358202],[1.9285738],[12.532592]
7,[0.9890558],[0.00359169],[1.0944188],[12.83639]
8,[0.9858547],[0.00299386],[1.4145315],[5.945233]
9,[0.9892558],[0.00332636],[1.0744214],[4.5005574]
10,[0.9840003],[0.00352477],[1.5999675],[10.734008]
11,[0.9704891],[0.00320914],[2.9510915],[0.8182101]
12,[0.9824918],[0.0033628],[1.7508209],[5.6453495]
13,[0.9906079],[0.00325906],[0.93920827],[2.3862388]
14,[0.983377],[0.00336041],[1.662302],[5.570411]
15,[0.9964932],[0.00334029],[0.35067797],[4.938336]
16,[0.99031615],[0.003422],[0.96838474],[7.505377]
17,[0.9791206],[0.00389716],[2.0879388],[22.432877]
18,[0.9819877],[0.00333894],[1.8012285],[4.8958087]
19,[0.979197],[0.00308449],[2.0802975],[3.0979629]
20,[0.99156606],[0.00352105],[0.8433938],[10.617062]
21,[0.9857537],[0.00334272],[1.4246285],[5.014722]
22,[0.98798835],[0.00326983],[1.2011647],[2.724641]
23,[0.99189645],[0.00357519],[0.81035495],[12.318048]
24,[0.98349935],[0.00328035],[1.6500652],[3.0550776]
25,[0.98716134],[0.00315337],[1.2838662],[0.93405855]
26,[0.9793369],[0.00316209],[2.0663083],[0.65992963]
27,[0.9638583],[0.00336095],[3.6141694],[5.5873814]
28,[0.9911316],[0.00314933],[0.8868396],[1.0608131]
29,[0.9876863],[0.00340886],[1.2313724],[7.0924826]
30,[0.98544955],[0.00349635],[1.4550447],[9.84121]
31,[0.99216604],[0.00347741],[0.78339577],[9.246154]
32,[0.9917369],[0.00309639],[0.8263111],[2.7240777]
33,[0.9794451],[0.00347087],[2.05549],[9.040739]
34,[0.99371445],[0.00299576],[0.6285548],[5.885429]
35,[0.9702663],[0.00306556],[2.9733717],[3.6926098]
36,[0.9788111],[0.0033247],[2.1188915],[4.448653]
37,[0.9845923],[0.00334353],[1.5407681],[5.0399575]
38,[0.99160826],[0.00358145],[0.8391738],[12.514612]
39,[0.9840587],[0.00321186],[1.5941322],[0.90367377]
40,[0.98171145],[0.00315409],[1.8288553],[0.91147107]
41,[0.98751813],[0.00346609],[1.2481868],[8.890577]
42,[0.97886616],[0.00322366],[2.113384],[1.2744064]
43,[0.99013966],[0.00323187],[0.9860337],[1.5321287]
44,[0.9815349],[0.00352129],[1.8465102],[10.62445]
45,[0.98798424],[0.0033462],[1.201576],[5.123841]
46,[0.9917911],[0.00333162],[0.8208871],[4.6658306]
47,[1.0027874],[0.00354792],[0.27873516],[11.461151]
48,[0.988458],[0.00316806],[1.1542022],[0.47241282]
49,[0.995295],[0.00352799],[0.47050118],[10.835014]
50,[0.9787289],[0.00324037],[2.127111],[1.799338]
51,[0.9885566],[0.00315707],[1.1443377],[0.81773454]
52,[0.98513335],[0.00351259],[1.486665],[10.351381]
0,[0.99389505],[0.00323905],[0.6104946],[1.7576009]
1,[0.98645914],[0.00351537],[1.3540864],[10.438505]
2,[0.99395454],[0.00327633],[0.60454607],[2.928908]
3,[0.9677485],[0.0033159],[3.2251477],[4.172103]
4,[0.9756851],[0.00324004],[2.431488],[1.7889953]
5,[0.9916702],[0.00342437],[0.8329809],[7.579839]
6,[0.9969693],[0.00332043],[0.30307174],[4.314416]
7,[0.99770445],[0.00301214],[0.22955537],[5.370767]
8,[0.98560214],[0.00343313],[1.439786],[7.8550434]
9,[0.9798219],[0.0036962],[2.017808],[16.119543]
10,[0.97886705],[0.00322655],[2.1132946],[1.3651365]
11,[0.9918544],[0.00324195],[0.8145571],[1.8488139]
12,[0.98532736],[0.00351771],[1.4672637],[10.5122]
13,[0.9607755],[0.00427254],[3.9224505],[34.22573]
14,[0.9842416],[0.0036768],[1.5758395],[15.509974]
15,[0.97342294],[0.00369747],[2.6577055],[16.159582]
16,[0.9786944],[0.00353331],[2.130562],[11.002255]
17,[0.98449177],[0.00345366],[1.5508235],[8.499781]
